Contig	LCAStar	LCAStar_p	LCAStar_dist	LCAStar_WTD	Majority	Majority_p	Majority_dist	Majority_WTD	LCASquared	LCASquared_dist	LCASquared_WTD	Original
GEBA_SAG_0000039_A21_5	candidate division WWE1 bacterium JGI 0000039-A21	0.005	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.005	0	0	Monera	5	-0.484375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_6	unclassified Cloacimonetes	0.007	1	-0.015625	candidate division WWE1 bacterium JGI 0000039-A21	1.0	0	0	Monera	5	-0.484375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_7	candidate division WWE1 bacterium JGI 0000039-A21	0.028	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.028	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_0	candidate division WWE1 bacterium JGI 0000039-A21	0.0	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.0	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_1	candidate division WWE1 bacterium JGI 0000039-A21	0.0	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.0	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_2	candidate division WWE1 bacterium JGI 0000039-A21	0.028	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.028	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_3	candidate division WWE1 bacterium JGI 0000039-A21	0.16	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.16	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_8	candidate division WWE1 bacterium JGI 0000039-A21	0.0	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.0	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_9	Bacteria	0.0	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21	0.05	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_27	candidate division WWE1 bacterium JGI 0000039-G13	None	2	-0.03125	candidate division WWE1 bacterium JGI 0000039-G13	None	2	-0.03125	Cloacimonetes bacterium JGI 0000039-G13	2	-0.03125	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_26	Candidatus Cloacamonas acidaminovorans	None	4	-0.09375	Candidatus Cloacamonas acidaminovorans	None	4	-0.09375	"Candidatus Cloacamonas acidaminovorans" Pelletier et al. 2008	4	-0.09375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_25	candidate division WWE1 bacterium JGI 0000039-A21	0.096	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.096	0	0	Cloacimonetes bacterium JGI 0000039-A21	0	0	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_24	candidate division WWE1 bacterium JGI 0000039-A21	0.306	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.306	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_23	Bacteria	0.165	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21	0.56	0	0	Monera	5	-0.484375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_22	candidate division WWE1 bacterium JGI 0000039-A21	0.306	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.306	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_21	Bacteria	0.008	4	-0.234375	Barnesiella intestinihominis	1.0	11	-0.482421875	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_20	candidate division WWE1 bacterium JGI 0000039-A21	0.306	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.306	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_28	unclassified Aminicenantes	0.306	5	-0.203125	candidate division OP8 bacterium SCGC AAA252-O11	0.56	6	-0.21875	Not yet classified (Prokaryotae)	3	-0.109375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_18	candidate division WWE1 bacterium JGI 0000039-A21	0.41	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.41	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_19	candidate division WWE1 bacterium JGI 0000039-A21	0.019	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.019	0	0	Cloacimonetes bacterium JGI 0000039-A21	0	0	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_16	candidate division WWE1 bacterium JGI 0000039-A21	0.165	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.165	0	0	Cloacimonetes	2	-0.046875	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_17	candidate division WWE1 bacterium JGI 0000039-A21	0.019	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.019	0	0	Cloacimonetes bacterium JGI 0000039-A21	0	0	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_14	candidate division WWE1 bacterium JGI 0000039-A21	0.008	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.008	0	0	Cloacimonetes bacterium JGI 0000039-A21	0	0	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_15	candidate division WWE1 bacterium JGI 0000039-A21	0.165	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.165	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_12	candidate division WWE1 bacterium JGI 0000039-A21	0.002	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.002	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_13	candidate division WWE1 bacterium JGI 0000039-A21	0.088	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.088	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_10	candidate division WWE1 bacterium JGI 0000039-A21	0.002	0	0	candidate division WWE1 bacterium JGI 0000039-A21	0.002	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_A21_11	unclassified Cloacimonetes	0.0	1	-0.015625	candidate division WWE1 bacterium JGI 0000039-A21	0.282	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-A21
GEBA_SAG_0000039_D08_8	SAR406 cluster bacterium JGI 0000039-D08	0.096	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.096	0	0	Marinimicrobia bacterium JGI 0000039-D08	0	0	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_9	SAR406 cluster bacterium JGI 0000039-D08	0.047	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.047	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_2	Marinimicrobia	0.0	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.005	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_3	Marinimicrobia	0.009	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.028	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_0	SAR406 cluster bacterium JGI 0000039-D08	0.0	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.0	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_1	SAR406 cluster bacterium JGI 0000039-D08	0.046	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.046	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_6	SAR406 cluster bacterium JGI 0000039-D08	0.047	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.047	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_7	Bacteria	0.0	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08	0.003	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_4	SAR406 cluster bacterium JGI 0000039-D08	0.0	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.0	0	0	Marinimicrobia	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_5	Bacteria	0.0	3	-0.21875	SAR406 cluster	0.477	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_51	Bacteroidetes/Chlorobi group	0.56	4	-0.34375	SAR406 cluster bacterium JGI 0000039-D08	1.0	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_54	SAR406 cluster bacterium JGI 0000039-D08	0.165	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.165	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_55	Bacteria	0.004	3	-0.21875	Caldithrix abyssi	1.0	6	-0.4375	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_50	Marinimicrobia	0.306	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.56	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_12	Bacteria	0.002	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08	0.306	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_52	SAR406 cluster	0.56	1	-0.03125	SAR406 cluster	0.56	1	-0.03125	Marinimicrobia	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_53	Bacteria	0.004	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08	0.56	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_10	Marinimicrobia	0.001	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.403	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_11	SAR406 cluster bacterium JGI 0000039-D08	0.005	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.005	0	0	Monera	4	-0.46875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_38	Bacteria	0.002	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08	0.56	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_13	Bacteria	0.096	3	-0.21875	Candidatus Poribacteria sp. WGA-4E	1.0	6	-0.4375	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_14	SAR406 cluster bacterium JGI 0000039-D08	0.024	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.024	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_39	Marinimicrobia	0.165	1	-0.03125	candidate division OP3 bacterium SCGC AAA011-A05	0.306	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_16	SAR406 cluster bacterium JGI 0000039-D08	0.002	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.002	0	0	Marinimicrobia bacterium JGI 0000039-D08	0	0	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_17	SAR406 cluster bacterium JGI 0000039-D08	0.0	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.0	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_18	SAR406 cluster bacterium JGI 0000039-D08	0.047	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.047	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_19	Marinimicrobia	0.0	1	-0.03125	SAR406 cluster	0.244	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_30	Bacteria	0.002	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08	0.306	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_31	SAR406 cluster	0.024	1	-0.03125	SAR406 cluster	0.024	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_36	Bacteria	0.046	3	-0.21875	Bacteria	0.046	3	-0.21875	Monera	4	-0.46875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_37	SAR406 cluster bacterium JGI 0000039-D08	0.56	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.56	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_34	Proteobacteria	0.41	4	-0.34375	SAR406 cluster	0.56	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_15	Marinimicrobia	0.165	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.306	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_32	SAR406 cluster bacterium JGI 0000039-D08	0.041	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.041	0	0	Marinimicrobia bacterium JGI 0000039-D08	0	0	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_33	Bacteria	0.004	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08	0.56	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_26	SAR406 cluster bacterium JGI 0000039-D08	0.088	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.088	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_49	SAR406 cluster bacterium JGI 0000039-D08	0.008	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.008	0	0	Marinimicrobia bacterium JGI 0000039-D08	0	0	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_48	SAR406 cluster bacterium JGI 0000039-D08	0.041	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.041	0	0	Marinimicrobia bacterium JGI 0000039-D08	0	0	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_47	SAR406 cluster	0.56	1	-0.03125	SAR406 cluster	0.56	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_46	Bacteria	0.041	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08	1.0	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_45	SAR406 cluster bacterium JGI 0000039-D08	0.56	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.56	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_44	SAR406 cluster bacterium JGI 0000039-D08	0.008	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.008	0	0	Marinimicrobia bacterium JGI 0000039-D08	0	0	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_43	Marinimicrobia	0.306	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.56	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_42	SAR406 cluster bacterium JGI 0000039-D08	0.165	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.165	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_41	SAR406 cluster bacterium JGI 0000039-D08	0.096	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.096	0	0	Marinimicrobia bacterium JGI 0000039-D08	0	0	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_40	SAR406 cluster bacterium JGI 0000039-D08	0.007	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.007	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_29	Bacteria	0.0	3	-0.21875	Bacteria	0.705	3	-0.21875	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_28	Bacteria	0.024	3	-0.21875	SAR406 cluster	0.56	1	-0.03125	Monera	4	-0.46875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_25	Marinimicrobia	0.56	1	-0.03125	candidate division OP3 bacterium SCGC AAA011-A05	1.0	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_24	Marinimicrobia	0.047	1	-0.03125	SAR406 cluster	0.654	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_27	SAR406 cluster bacterium JGI 0000039-D08	0.001	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.001	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_35	SAR406 cluster bacterium JGI 0000039-D08	0.088	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.088	0	0	Marinimicrobia	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_21	SAR406 cluster bacterium JGI 0000039-D08	0.0	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.0	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_20	Marinimicrobia	0.007	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	1.0	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_23	Bacteria	0.148	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08	0.41	0	0	Monera	4	-0.46875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_D08_22	SAR406 cluster bacterium JGI 0000039-D08	0.0	0	0	SAR406 cluster bacterium JGI 0000039-D08	0.0	0	0	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08
GEBA_SAG_0000039_E15_9	SAR406 cluster bacterium JGI 0000039-D08	0.003	2	-0.0625	SAR406 cluster bacterium JGI 0000039-D08	0.003	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_8	Marinimicrobia	0.0	1	-0.03125	SAR406 cluster	0.028	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_1	SAR406 cluster bacterium JGI 0000039-D08	0.016	2	-0.0625	SAR406 cluster bacterium JGI 0000039-D08	0.016	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_0	Marinimicrobia	0.306	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.56	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_3	Marinimicrobia	0.0	1	-0.03125	SAR406 cluster	0.192	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_2	SAR406 cluster bacterium JGI 0000039-D08	0.013	2	-0.0625	SAR406 cluster bacterium JGI 0000039-D08	0.013	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_5	Marinimicrobia	0.0	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.617	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_4	Marinimicrobia	0.003	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.526	2	-0.0625	Monera	4	-0.46875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_7	Marinimicrobia	0.005	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.739	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_6	SAR406 cluster bacterium JGI 0000039-D08	0.076	2	-0.0625	SAR406 cluster bacterium JGI 0000039-D08	0.076	2	-0.0625	Monera	4	-0.46875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_20	SAR406 cluster	0.088	1	-0.03125	SAR406 cluster	0.088	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_21	SAR406 cluster bacterium JGI 0000039-D08	0.024	2	-0.0625	SAR406 cluster bacterium JGI 0000039-D08	0.024	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_22	Marinimicrobia	0.088	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.165	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_23	Marinimicrobia	0.306	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.56	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_24	Bacteria	0.002	3	-0.21875	SAR406 cluster	0.56	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_25	SAR406 cluster bacterium JGI 0000039-E15	0.306	0	0	SAR406 cluster bacterium JGI 0000039-E15	0.306	0	0	Marinimicrobia	1	-0.03125	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_26	Bacteria	0.096	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08	1.0	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_27	Marinimicrobia	0.56	1	-0.03125	SAR406 cluster bacterium JGI 0000059-L03	1.0	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_28	Bacteria	0.096	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15	1.0	0	0	root	6	-1.96875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_29	SAR406 cluster bacterium JGI 0000039-D08	0.096	2	-0.0625	SAR406 cluster bacterium JGI 0000039-D08	0.096	2	-0.0625	Marinimicrobia bacterium JGI 0000039-D08	2	-0.0625	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_19	SAR406 cluster bacterium JGI 0000039-D08	0.002	2	-0.0625	SAR406 cluster bacterium JGI 0000039-D08	0.002	2	-0.0625	Monera	4	-0.46875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_18	Bacteria	0.0	3	-0.21875	SAR406 cluster bacterium JGI 0000039-D08	0.024	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_15	Marinimicrobia	0.306	1	-0.03125	SAR406 cluster	0.56	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_14	Marinimicrobia	0.165	1	-0.03125	SAR406 cluster	1.0	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_17	Marinimicrobia	0.024	1	-0.03125	SAR406 cluster bacterium JGI 0000039-D08	0.41	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_16	Marinimicrobia	0.0	1	-0.03125	SAR406 cluster	0.563	1	-0.03125	Marinimicrobia	1	-0.03125	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_11	SAR406 cluster bacterium JGI 0000039-D08	0.313	2	-0.0625	SAR406 cluster bacterium JGI 0000039-D08	0.313	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_10	SAR406 cluster bacterium JGI 0000039-D08	0.001	2	-0.0625	SAR406 cluster bacterium JGI 0000039-D08	0.001	2	-0.0625	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_13	Marinimicrobia	0.002	1	-0.03125	SAR406 cluster	1.0	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_E15_12	Marinimicrobia	0.005	1	-0.03125	SAR406 cluster	0.125	1	-0.03125	Bacteria	3	-0.21875	SAR406 cluster bacterium JGI 0000039-E15
GEBA_SAG_0000039_G13_18	candidate division WWE1 bacterium JGI 0000039-G13	0.019	0	0	candidate division WWE1 bacterium JGI 0000039-G13	0.019	0	0	Cloacimonetes bacterium JGI 0000039-G13	0	0	candidate division WWE1 bacterium JGI 0000039-G13
GEBA_SAG_0000039_G13_15	candidate division WWE1 bacterium JGI 0000039-G13	0.047	0	0	candidate division WWE1 bacterium JGI 0000039-G13	0.047	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-G13
GEBA_SAG_0000039_G13_14	candidate division WWE1 bacterium JGI 0000039-G13	0.306	0	0	candidate division WWE1 bacterium JGI 0000039-G13	0.306	0	0	Monera	5	-0.484375	candidate division WWE1 bacterium JGI 0000039-G13
GEBA_SAG_0000039_G13_17	Caldithrix abyssi	None	5	-0.203125	Caldithrix abyssi	None	5	-0.203125	Caldithrix abyssi	5	-0.203125	candidate division WWE1 bacterium JGI 0000039-G13
GEBA_SAG_0000039_G13_16	unclassified Cloacimonetes	0.165	1	-0.015625	candidate division WWE1 bacterium JGI 0000039-A21	1.0	2	-0.03125	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-G13
GEBA_SAG_0000039_G13_11	candidate division WWE1 bacterium JGI 0000039-G13	0.024	0	0	candidate division WWE1 bacterium JGI 0000039-G13	0.024	0	0	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-G13
GEBA_SAG_0000039_G13_10	candidate division WWE1 bacterium JGI 0000039-G13	0.56	0	0	candidate division WWE1 bacterium JGI 0000039-G13	0.56	0	0	unclassified Cloacimonetes	1	-0.015625	candidate division WWE1 bacterium JGI 0000039-G13
GEBA_SAG_0000039_G13_13	unclassified Cloacimonetes	0.165	1	-0.015625	unclassified candidate division WWE1	0.306	1	-0.015625	Bacteria	4	-0.234375	candidate division WWE1 bacterium JGI 0000039-G13
